Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
198,"Nick Bjugstad",FLA,C,-10,72," "," "," "," ",24,19,-7,207,3,12,0,148,486
199,"Joe Thornton",SJS,C,-10,78," "," "," "," ",16,49,-4,131,0,22,0,39,554
200,"Daniel Winnik",TOR,RW,-10,79," "," "," "," ",9,25,23,97,1,0,1,124,107
201,"Jakob Silfverberg",ANA,LW,-11,81," "," "," "," ",13,26,15,189,2,4,3,42,23
202,"Anders Lee",NYI,C,-12,76," "," "," "," ",25,16,9,197,6,6,0,169,1
203,"Brock Nelson",NYI,C,-13,82," "," "," "," ",20,22,6,190,3,15,0,99,354
204,"Jason Demers",DAL,D,-13,81," "," "," "," ",5,20,-3,99,2,5,0,118,0
205,"Drew Stafford",WPG,RW,-14,76," "," "," "," ",18,25,-12,147,1,9,1,81,86
206,"David Desharnais",MTL,C,-14,82," "," "," "," ",14,34,22,90,4,11,0,43,629
207,"Alex Tanguay",COL,LW,-14,80," "," "," "," ",22,33,-1,104,4,14,1,45,12
208,"Brian Campbell",FLA,D,-14,82," "," "," "," ",3,24,4,118,0,12,0,44,0
209,"Mark Stuart",WPG,D,-14,70," "," "," "," ",2,12,5,51,1,0,2,166,0
210,"Jake Allen",STL,G,-15,38,4,0.913,2.28,22," "," "," "," "," "," "," "," "," "
211,"James Neal",NSH,LW,-15,67," "," "," "," ",23,14,12,222,6,4,0,71,7
212,"Kevin Connauton",CBJ,D,-15,62," "," "," "," ",9,12,5,96,4,3,0,83,0
213,"Derek Dorsett",VAN,RW,-15,79," "," "," "," ",7,18,4,89,3,0,2,166,7
214,"Steve Mason",PHI,G,-15,51,1,0.928,2.29,18," "," "," "," "," "," "," "," "," "
215,"Robyn Regehr",LAK,D,-15,67," "," "," "," ",3,10,10,63,0,0,1,203,0
216,"Mika Zibanejad",OTT,C,-15,80," "," "," "," ",20,26,0,150,0,14,0,149,615
217,"Zach Bogosian",BUF,D,-16,62," "," "," "," ",3,17,-6,125,0,2,0,189,0
218,"Jared Spurgeon",MIN,D,-16,67," "," "," "," ",9,16,3,128,2,6,0,48,0
219,"Morgan Rielly",TOR,D,-16,81," "," "," "," ",8,21,-16,148,0,9,0,98,0
220,"Dmitry Kulikov",FLA,D,-17,73," "," "," "," ",3,19,0,83,0,6,1,114,0
221,"Jannik Hansen",VAN,RW,-17,81," "," "," "," ",16,17,-6,145,2,0,3,80,1
222,"Reilly Smith",FLA,RW,-17,81," "," "," "," ",13,27,7,143,0,11,0,74,2
223,"Tyler Ennis",BUF,LW,-17,78," "," "," "," ",20,26,-19,185,2,17,1,87,67
224,"Marc-Edouard Vlasic",SJS,D,-17,70," "," "," "," ",9,14,12,98,3,3,0,51,0
225,"Gustav Nyquist",DET,C,-17,82," "," "," "," ",27,27,-11,195,4,24,0,43,1
226,"Jori Lehtera",STL,C,-18,75," "," "," "," ",14,30,21,103,2,7,2,43,543
227,"Alec Martinez",LAK,D,-18,56," "," "," "," ",6,16,9,103,1,4,0,95,0
228,"Craig Smith",NSH,C,-18,82," "," "," "," ",23,21,11,251,4,9,0,77,12
229,"Loui Eriksson",BOS,LW,-18,81," "," "," "," ",22,25,1,169,4,11,1,29,4
230,"Erik Gudbranson",FLA,D,-18,76," "," "," "," ",4,9,-4,110,0,4,0,212,0
231,"Ben Lovejoy",PIT,D,-18,60," "," "," "," ",2,12,-4,86,0,0,2,170,0
232,"Eric Gelinas",NJD,D,-18,61," "," "," "," ",6,13,-2,112,2,9,0,82,0
233,"Jacob Trouba",WPG,D,-18,65," "," "," "," ",7,15,2,133,0,6,0,97,0
234,"Joel Ward",SJS,RW,-19,82," "," "," "," ",19,15,-4,138,4,11,0,53,60
235,"Adam Lowry",WPG,LW,-19,80," "," "," "," ",11,12,1,104,2,3,1,256,402
236,"Patrick Sharp",DAL,LW,-19,68," "," "," "," ",16,27,-8,230,2,14,0,74,53
237,"Mike Hoffman",OTT,LW,-19,79," "," "," "," ",27,21,16,199,4,3,0,40,7
238,"Shane Doan",ARI,RW,-20,79," "," "," "," ",14,22,-29,189,0,10,0,189,3
239,"Carl Hagelin",ANA,LW,-20,82," "," "," "," ",17,18,18,185,4,1,1,85,6
240,"Devante Smith-Pelly",MTL,RW,-20,74," "," "," "," ",6,14,-1,104,1,1,2,205,23
241,"Yannick Weber",VAN,D,-20,65," "," "," "," ",11,10,4,117,1,8,0,66,0
242,"Kyle Palmieri",NJD,RW,-21,57," "," "," "," ",14,15,-2,112,4,11,0,97,6
243,"Tommy Wingels",SJS,C,-21,75," "," "," "," ",15,21,-7,158,1,10,1,263,70
244,"Justin Schultz",EDM,D,-21,81," "," "," "," ",6,25,-17,122,1,12,0,41,1
245,"Michael Stone",ARI,D,-21,81," "," "," "," ",3,15,-24,144,0,5,0,202,1
246,"Thomas Hickey",NYI,D,-21,81," "," "," "," ",2,20,-12,82,1,0,2,117,1
247,"Matt Read",PHI,RW,-21,80," "," "," "," ",8,22,-4,142,2,5,1,108,11
248,"Ryan Ellis",NSH,D,-22,58," "," "," "," ",9,18,8,118,0,6,0,41,0
249,"Dennis Seidenberg",BOS,D,-22,82," "," "," "," ",3,11,-1,103,0,0,0,212,0
250,"Brian Gionta",BUF,RW,-22,69," "," "," "," ",13,22,-13,153,2,9,1,61,69
251,"Mark Borowiecki",OTT,D,-22,63," "," "," "," ",1,10,15,30,0,0,0,233,0
252,"Jonas Brodin",MIN,D,-22,71," "," "," "," ",3,14,21,95,1,2,1,31,0
253,"Brian Boyle",TBL,C,-23,82," "," "," "," ",15,9,3,140,5,0,3,136,460
254,"Jeff Petry",MTL,D,-23,78," "," "," "," ",7,15,-28,126,1,4,1,145,0
255,"Kyle Quincey",DET,D,-24,73," "," "," "," ",3,15,10,90,0,0,1,104,0
256,"Steve Bernier",NYI,RW,-24,67," "," "," "," ",16,16,2,107,2,8,0,123,1
257,"Thomas Vanek",MIN,LW,-24,80," "," "," "," ",21,31,-6,171,2,17,0,32,10
258,"Fedor Tyutin",CBJ,D,-24,67," "," "," "," ",3,12,8,56,0,1,2,106,0
259,"Nick Holden",COL,D,-24,78," "," "," "," ",5,9,-11,94,2,6,0,156,0
260,"Christian Ehrhoff",LAK,D,-25,50," "," "," "," ",3,11,8,110,3,2,0,73,0
261,"Blake Comeau",COL,LW,-25,61," "," "," "," ",16,15,6,147,5,1,0,188,7
262,"Andrej Sekera",EDM,D,-25,73," "," "," "," ",3,20,-3,100,0,6,1,59,0
263,"Andy Greene",NJD,D,-25,82," "," "," "," ",3,19,1,83,1,1,1,82,0
264,"Carl Soderberg",COL,C,-26,82," "," "," "," ",13,31,10,163,3,8,0,76,369
265,"Karl Alzner",WSH,D,-26,82," "," "," "," ",5,16,14,72,0,0,0,120,0
266,"Mike Fisher",NSH,C,-26,59," "," "," "," ",19,20,4,111,1,10,1,125,601
267,"Niklas Hjalmarsson",CHI,D,-27,82," "," "," "," ",3,16,25,97,1,0,0,39,0
268,"Calvin de Haan",NYI,D,-27,65," "," "," "," ",1,11,3,92,0,1,1,140,0
269,"Dale Weise",MTL,RW,-27,79," "," "," "," ",10,19,21,91,1,0,0,145,5
270,"Brenden Dillon",SJS,D,-28,80," "," "," "," ",2,8,-13,91,1,0,2,154,0
271,"Kevin Bieksa",ANA,D,-28,60," "," "," "," ",4,10,0,99,1,1,1,109,0
272,"Barret Jackman",NSH,D,-28,80," "," "," "," ",2,13,3,86,1,0,1,108,0
273,"Matt Dumba",MIN,D,-28,58," "," "," "," ",8,8,13,86,2,6,0,42,0
274,"Justin Braun",SJS,D,-28,70," "," "," "," ",1,22,8,94,0,2,0,79,0
275,"Cody Ceci",OTT,D,-29,81," "," "," "," ",5,16,-4,130,0,4,0,89,0
276,"Colin Wilson",NSH,C,-29,77," "," "," "," ",20,22,19,172,5,7,0,52,71
277,"Nick Bonino",PIT,C,-29,75," "," "," "," ",15,24,7,149,6,5,0,31,590
278,"Darren Helm",DET,C,-30,75," "," "," "," ",15,18,7,160,1,7,2,132,223
279,"Sergei Bobrovsky",CBJ,G,-30,51,2,0.918,2.74,30," "," "," "," "," "," "," "," "," "
280,"Eric Gryba",EDM,D,-30,75," "," "," "," ",0,12,11,64,0,0,0,171,0
281,"Alexei Emelin",MTL,D,-30,68," "," "," "," ",3,11,5,43,0,0,0,204,0
282,"Nikolay Kulemin",NYI,LW,-30,82," "," "," "," ",15,16,7,115,0,0,4,129,7
283,"Dmitrij Jaskin",STL,RW,-30,54," "," "," "," ",13,5,7,108,4,3,0,146,3
284,"Brandon Dubinsky",CBJ,C,-31,47," "," "," "," ",13,23,11,100,1,7,1,152,436
285,"Nazem Kadri",TOR,C,-31,73," "," "," "," ",18,21,-7,176,1,7,1,118,528
286,"Sean Couturier",PHI,C,-32,82," "," "," "," ",15,22,4,148,0,6,2,72,643
287,"David Perron",PIT,LW,-32,81," "," "," "," ",17,24,-25,196,2,9,0,171,3
